OID,Source,Site Name,Address,City,Zip,ZipTxt,Hours of Operation,HoursJSON,Google Calendar JSON,Website,Phone,Email,lat,lng
42,GBFB Member Agency,Brockton Assebly of God,199 Warren Ave.,Brockton,02301,02301,F: 10am-12,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday""]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""12:00""",,http://www.brocktonag.com/,508-583-7222,,42.0820974,-71.0229602
43,GBFB Member Agency,Fall River Community Soup Kitchen /Church of the Holy Spirit,149 Purchase St.,Fall River,02720,02720,F: 11:30-12:30,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday""]
""startsOn"" : ""06/07/2013""
""start"": ""11:30""
""end"" : ""12:30""",,http://myfallriver.org/content/church-holy-spirit-soup-kitchen,508-672-5571,,41.7037957,-71.1536858
44,GBFB Member Agency,"Food for the World, Inc./Saint Alfio's Villa",35 Common St.,Lawrence,01841,01841,F: 1-3pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday""]
""startsOn"" : ""06/07/2013""
""start"": ""13:00""
""end"" : ""15:00""",,http://www.foodfortheworld.org/pantry.html,978-683-9949,,42.7084977,-71.1544586
45,CofBoston,Mary Ellen McCormack,345 Old Colony Ave.,South Boston,02125,02125,F: 2:00– 3:00 PM,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday""]
""startsOn"" : ""06/07/2013""
""start"": ""14:00""
""end"" : ""15:00""",,http://www.fairfoods.org/dollarbag.html,,,42.3287354,-71.0525809
46,GBFB Member Agency,Saint Vincent de Paul/Abington Food Pantry,455 Plymouth St.,Abington,02351,02351,"Tue: 5-7:30pm, F: 2-4pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""17:00""
""end"" : ""19:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""14:00""
""end"" : ""16:00""",,,781-878-1194,,42.1166258,-70.9364398
47,CofBoston,Kelly House/Dot House,1363 Dorchester Ave,Dorchester,02122,02122,F: 3:30- 4:30,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""15:30""
""end"" : ""16:30""",,http://www.fairfoods.org/dollarbag.html,617-288-3230,,42.3040225,-71.0592509
48,GBFB Member Agency,Saint Stephen's Food Pantry,74 South Common St.,Lynn,01902,01902,F: 3-4pm (except on 1st F. of mo.),,,,781-599-8963,,42.462796,-70.956273
49,GBFB Member Agency,MCHC/Missionary Food Pantry,100 Temple St.,Somerville,02145,02145,"F: 4-6pm, every other Fri.",,,,617-776-0227,,42.395707,-71.090185
50,CofBoston,Walnut Park Senior Bldg.,1990 Columbus Ave.,Roxbury,02119,02119,F: 5 – 6 PM,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""17:00""
""end"" : ""18:00""",,http://www.fairfoods.org/dollarbag.html,,,42.315491,-71.097115
51,CofBoston,Pasciucco Development,330 Bowdoin St.,Dorchester,02122,02122,F: 5:30 - 6:30,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""17:30""
""end"" : ""18:30""",,http://www.fairfoods.org/dollarbag.html,,,42.3082883,-71.0648702
52,GBFB Finder,Rice Sticks + Tea/Asian Food Pantry,351 Boylston Street,Boston,02116,02116,F: 5pm-7pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""17:00""
""end"" : ""19:00""",,,617-536-7050,,42.3519952,-71.0711698
53,GBFB Member Agency,St. Joseph's Food Cellar,208 S. Main St.,Attleboro,02703,02703,F: 6-7pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""18:00""
""end"" : ""19:00""",,,508-226-1115,,41.9361613,-71.2848091
54,GBFB Member Agency,United Parish Food Pantry,50 Essex St.,Saugus,01906,01906,F: 9:30-11am,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:30""
""end"" : ""11:00""",,,781-233-2663,,42.4488453,-71.0118954
55,GBFB Member Agency,East Coast International Church Pantry,65 Munroe St.,Lynn,01901,01901,F: 9:30am-11am,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:30""
""end"" : ""11:00""",,,781-592-3242,,42.4629437,-70.9465546
56,GBFB Finder,Stow Food Pantry,"1 1st Parish Church Great Road, Route 117",Stow,01775,01775,F: 9am-12am,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:00""
""end"" : ""12:00""",,,978-897-4230,,42.4342656,-71.4903763
57,GBFB Member Agency,Annelle Delorme Hagerman Food Pantry,2112 County St.,Somerset,02726,02726,F: 9pm-11pm,"""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:00""
""end"" : ""11:00""",,http://www.church-of-our-saviour.com/Spire/Page1.html,508-677-3825,geo@paiva.net,41.7616564,-71.1389857
58,GBFB Member Agency,First Universalist Church - Salem Pantry,211 Bridge St.,Salem,01970,01970,last Sat. of mo. 9:30-11:30,,,http://salemuu.org/,978-744-3224,,42.523916,-70.894862
59,GBFB Member Agency,Coyle and Cassidy High School Pantry,2 Hamilton St.,Taunton,02780,02780,Last Sat. of mo. 9-11am,,,http://www.coylecassidy.com/Pages/CoyleCassidyHS_StudentLife/Foodpantry?textPage=1,508-823-6164,mcote@coylecassidy.com,41.9091388,-71.0947389
60,GBFB Member Agency,Ferry St. Ministries Lighthouse Christian Center,1367 Pleasant St.,Fall River,02723,02723,Last Sat. of mo. 9am-11am,,,http://www.gfrpartners.com/06LighthouseOutreach.html,774-644-1551,,41.6910357,-71.1348248
61,GBFB Member Agency,Saint Vincent de Paul/Saint John the Baptist,17 Chestnut St.,Peabody,01960,01960,last Sun. of mo. 9am-1pm,,,,978-531-0002,,42.5253534,-70.9289409
62,GBFB Member Agency,PEOPLE INC./F.A.C.E. Food Pantry,170 Pleasant St.,Fall River,02721,02721,"M, F: 10am-3:30pm, Tue, Thu: 12-5:30pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""10:00""
""end"" : ""15:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""12:00""
""end"" : ""17:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""12:00""
""end"" : ""17:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""10:00""
""end"" : ""15:30""",,,508-837-6902,,41.6999045,-71.1524074
63,GBFB Finder,ABCD-N. End W. End Neighborhood Services,1 Michaelangelo Street,Boston,02113,02113,"M, F: 1pm-2pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""13:00""
""end"" : ""14:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""13:00""
""end"" : ""14:00""",,,617-523-8125,,42.367225,-71.0546911
64,GBFB Member Agency,Mass. Ave. Baptist Church Meals Program,146 Hampshire St.,Cambridge,02139,02139,"M, F: 5:30-7pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""17:30""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""17:30""
""end"" : ""19:00""",,http://www.vinfen.org/,617-868-4853,,42.3709417,-71.0977454
65,GBFB Member Agency,Grace Episcopal Church Food Pantry,133 School St.,New Bedford,02740,02740,"M, F: 9:30-10:30am","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:30""
""end"" : ""10:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:30""
""end"" : ""10:30""",,http://www.gracechurchnb.org/after_school_program,508-993-0547,,41.632644,-70.929227
66,GBFB Member Agency,United Way of Tri-County/Marlborough Community Cupboard Food Pantry,255 Main St.,Marlborough,01752,01752,"M, F: 9am-1pm, W: 9am-1pm, 5-7pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""09:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""17:00""
""end"" : ""19:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""09:00""
""end"" : ""13:00""",,http://www.uwotc.org/food/marlborough,508-481-4080,,42.3465689,-71.5521098
67,GBFB Finder,A Place to Turn,99 Hartford Street,Natick,01760,01760,"M, T, Th: 9:30am-12:30am, W: 11am-12:30am","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:30""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""09:30""
""end"" : ""13:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""11:00""
""end"" : ""12:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""09:30""
""end"" : ""12:30""",,,508-655-8868,,42.293723,-71.386938
68,CofBoston,East End House,105 Spring St.,Cambridge,02124,02124,"M, Thu, F: 1-4pm, Tue, W: 10am-1pm","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""13:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Tuesday”]
""startsOn"" : ""06/04/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Wednesday”]
""startsOn"" : ""06/05/2013""
""start"": ""10:00""
""end"" : ""13:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""13:00""
""end"" : ""16:00""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Friday”]
""startsOn"" : ""06/07/2013""
""start"": ""13:00""
""end"" : ""16:00""",,http://www.eastendhouse.org/,617-876-4444,,42.369518,-71.083028
69,GBFB Member Agency,Murray Unitarian Universalist Church Food Pantry,505 North Main St.,Attleboro,02703,02703,"M, Thu: 9:30am-11:30am","""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Monday”]
""startsOn"" : ""06/03/2013""
""start"": ""09:30""
""end"" : ""11:30""
""repeats"" : ""Weekly"",
""repeatsEvery"" : ""7"",
""repeatsOn"" :  [ ""Thursday”]
""startsOn"" : ""06/06/2013""
""start"": ""09:30""
""end"" : ""11:30""",,http://www.murrayuuchurch.org/food-pantry.htm,508-222-0505,murray.ch@verizon.net,41.9562254,-71.2880523
